#mOTU	consensus_taxonomy	NCBI_tax_id	PV527
ref_mOTU_v31_00072	Leclercia adecarboxylata	83655	1
ref_mOTU_v31_00076	Enterobacter cancerogenus	69218	1
ref_mOTU_v31_00077	 Enterobacter sp. [Enterobacter asburiae/Enterobacter bugandensis/Enterobacter cancerogenus/Enterobacter chengduensis/Enterobacter cloacae/Enterobacter genomosp. O/Enterobacter genomosp. S/Enterobacter hormaechei/Enterobacter kobei/Enterobacter ludwigii/Enterobacter roggenkampii/Enterobacter sichuanensis/Enterobacter sp. 50588862/Enterobacter sp. 50793107/Enterobacter sp. 50858885/Enterobacter sp. 56-7/Enterobacter sp. 940_PEND/Enterobacter sp. BIDMC 26/Enterobacter sp. BIDMC 27/Enterobacter sp. BIDMC 28/Enterobacter sp. BIDMC 30/Enterobacter sp. BIDMC100/Enterobacter sp. BIDMC109/Enterobacter sp. BIDMC87/Enterobacter sp. BIDMC92/Enterobacter sp. BIDMC93/Enterobacter sp. BIDMC94/Enterobacter sp. BIDMC99/Enterobacter sp. BWH 37/Enterobacter sp. BWH52/Enterobacter sp. BWH63/Enterobacter sp. BWH64/Enterobacter sp. DC1/Enterobacter sp. DC3/Enterobacter sp. DC4/Enterobacter sp. E20/Enterobacter sp. EGD-HP1/Enterobacter sp. HK169/Enterobacter sp. HMSC16D10/Enterobacter sp. IF2SW-P2/Enterobacter sp. J49/Enterobacter sp. K66-74/Enterobacter sp. ku-bf2/Enterobacter sp. MGH 1/Enterobacter sp. MGH 10/Enterobacter sp. MGH 14/Enterobacter sp. MGH 15/Enterobacter sp. MGH 22/Enterobacter sp. MGH 23/Enterobacter sp. MGH 24/Enterobacter sp. MGH 25/Enterobacter sp. MGH 3/Enterobacter sp. MGH 33/Enterobacter sp. MGH 37/Enterobacter sp. MGH 38/Enterobacter sp. MGH 6/Enterobacter sp. MGH 7/Enterobacter sp. MGH119/Enterobacter sp. MGH120/Enterobacter sp. MGH128/Enterobacter sp. NFIX45/Enterobacter sp. NFIX58/Enterobacter sp. NFIX59/Enterobacter sp. ODB01/Enterobacter sp. PDC34/Enterobacter sp. SENG-6/Enterobacter sp. ST121:950178628/Enterobacter sp. T1-1/Enterobacter sp. UCD-UG_FMILLET/Escherichia coli/Klebsiella aerogenes/Klebsiella oxytoca/Leclercia adecarboxylata/Leclercia sp. LK8/Lelliottia amnigena/Lelliottia nimipressuralis/Pantoea sesami/Pedobacter himalayensis]	NA	2
ref_mOTU_v31_00113	Pseudomonas fragi	296	1
ref_mOTU_v31_00122	Pseudomonas sp. [Pseudomonas sp. FH4/Pseudomonas brenneri/Pseudomonas sp. 25 R 14/Pseudomonas sp. 06C 126/Pseudomonas proteolytica/Pseudomonas fluorescens/Pseudomonas gessardii]	NA	1
ref_mOTU_v31_00133	 Pseudomonas sp. [Paraburkholderia insulsa/Pseudomonadales bacterium RIFCSPLOWO2_12_60_38/Pseudomonadales bacterium RIFCSPLOWO2_12_FULL_59_450/Pseudomonas azotoformans/Pseudomonas canadensis/Pseudomonas extremorientalis/Pseudomonas fluorescens/Pseudomonas lactis/Pseudomonas libanensis/Pseudomonas marginalis/Pseudomonas paralactis/Pseudomonas simiae/Pseudomonas sp. 24 E 1/Pseudomonas sp. 24 R 17/Pseudomonas sp. 35 E 8/Pseudomonas sp. 52 E 6/Pseudomonas sp. 58 R 12/Pseudomonas sp. AP42/Pseudomonas sp. BRG-100/Pseudomonas sp. bs2935/Pseudomonas sp. BTN1/Pseudomonas sp. CBZ-4/Pseudomonas sp. CF150/Pseudomonas sp. CFT9/Pseudomonas sp. CHM02/Pseudomonas sp. Eur1 9.41/Pseudomonas sp. FH1/Pseudomonas sp. FSL W5-0203/Pseudomonas sp. ICMP 19500/Pseudomonas sp. MF6394/Pseudomonas sp. NBRC 111137/Pseudomonas sp. NBRC 111138/Pseudomonas sp. NFPP02/Pseudomonas sp. NFPP04/Pseudomonas sp. NFPP11/Pseudomonas sp. NFPP24/Pseudomonas sp. NFPP28/Pseudomonas sp. NFR02/Pseudomonas sp. NFR09/Pseudomonas sp. OV546/Pseudomonas sp. R81/Pseudomonas sp. Root569/Pseudomonas sp. Root9/Pseudomonas sp. S1E40/Pseudomonas sp. WCS374/Pseudomonas synxantha/Pseudomonas tolaasii/Pseudomonas trivialis]	NA	1
ref_mOTU_v31_00140	Pseudomonas chlororaphis [Pseudomonas sp. GM17/Pseudomonas sp. NFIX51/Pseudomonas sp. NFACC41-3/Pseudomonas sp. NFPP07/Pseudomonas sp. NFIX28/Pseudomonas chlororaphis]	587753	1
ref_mOTU_v31_00146	Pseudomonas sp. [Pseudomonas frederiksbergensis/Pseudomonas sp. URIL14HWK12:I7/Pseudomonas kilonensis/Pseudomonas sp. NFACC16-2/Pseudomonas sp. NFACC24-1/Pseudomonas sp. NFACC23-1/Pseudomonas sp. NFACC17-2/Pseudomonas sp. NFACC39-1/Pseudomonas sp. NFACC37-1/Pseudomonas sp. NFACC46-3/Pseudomonas sp. NFACC45/Pseudomonas sp. NFACC44-2/Pseudomonas sp. NFACC56-3/Pseudomonas sp. NFACC54/Pseudomonas sp. NFACC52/Pseudomonas sp. NFACC51/Pseudomonas sp. NFACC48-1/Pseudomonas sp. NFIX10/Pseudomonas sp. NFACC08-1/Pseudomonas sp. NFACC07-1/Pseudomonas sp. NFACC06-1/Pseudomonas sp. NFACC05-1/Pseudomonas sp. NFACC04-2/Pseudomonas sp. NFACC15-1/Pseudomonas sp. NFACC14/Pseudomonas sp. NFACC13-1/Pseudomonas sp. Root401/Pseudomonas sp. Q12-87/Pseudomonas sp. A214/Pseudomonas sp. A25(2017)/Pseudomonas sp. Ep R1/Pseudomonas fluorescens/Pseudomonas thivervalensis/Pseudomonas sp. CFII68/Pseudomonas brassicacearum]	NA	15
ref_mOTU_v31_00148	Pseudomonas mediterranea/corrugata	NA	1
ref_mOTU_v31_00150	Pseudomonas sp. [Pseudomonas sp. GM78/Pseudomonas sp. G5(2012)/Pseudomonas sp. Root562/Pseudomonas umsongensis/Pseudomonas fluorescens/Pseudomonas putida/Pseudomonas reinekei]	NA	1
